datetime,Unnamed: 0,year,DOY,time,Ta,HR,VPD,R,meanWS,P,maxWS
2024-04-10 22:00:00,221566,2024,101,2200,9.99,65.0,,,,0.0,
2024-04-10 23:00:00,221567,2024,101,2300,8.94,84.0,,,,0.0,
2024-04-11 00:00:00,221568,2024,102,0,8.05,95.0,,,,0.0,
2024-04-11 01:00:00,221569,2024,102,100,8.88,100.0,,,,0.0,
2024-04-11 02:00:00,221570,2024,102,200,8.47,100.0,,,,0.0,
2024-04-11 03:00:00,221571,2024,102,300,8.25,100.0,,,,0.0,
2024-04-11 04:00:00,221572,2024,102,400,6.38,100.0,,,,0.0,
2024-04-11 05:00:00,221573,2024,102,500,7.07,100.0,,,,0.0,
2024-04-11 06:00:00,221574,2024,102,600,6.53,96.0,,,,0.0,
2024-04-11 07:00:00,221575,2024,102,700,6.21,68.0,,,,0.0,
2024-04-11 08:00:00,221576,2024,102,800,9.07,39.0,,,,0.0,
2024-04-11 09:00:00,221577,2024,102,900,13.47,40.0,,,,0.0,
2024-04-11 10:00:00,221578,2024,102,1000,14.09,36.0,,,,0.0,
2024-04-11 11:00:00,221579,2024,102,1100,16.7,36.0,,,,0.0,
2024-04-11 12:00:00,221580,2024,102,1200,16.33,32.0,,,,0.0,
2024-04-11 13:00:00,221581,2024,102,1300,18.79,31.0,,,,0.0,
2024-04-11 14:00:00,221582,2024,102,1400,17.88,38.0,,,,0.0,
2024-04-11 15:00:00,221583,2024,102,1500,19.83,40.0,,,,0.0,
2024-04-11 16:00:00,221584,2024,102,1600,18.28,40.0,,,,0.0,
2024-04-11 17:00:00,221585,2024,102,1700,17.35,38.0,,,,0.0,
2024-04-11 18:00:00,221586,2024,102,1800,15.71,50.0,,,,0.0,
2024-04-11 19:00:00,221587,2024,102,1900,14.27,75.0,,,,0.0,
2024-04-11 20:00:00,221588,2024,102,2000,12.92,88.0,,,,0.0,
2024-04-11 21:00:00,221589,2024,102,2100,11.67,99.0,,,,0.0,
2024-04-11 22:00:00,221590,2024,102,2200,11.73,100.0,,,,0.0,
2024-04-11 23:00:00,221591,2024,102,2300,12.03,100.0,,,,0.0,
2024-04-12 00:00:00,221592,2024,103,0,11.78,100.0,,,,0.0,
2024-04-12 01:00:00,221593,2024,103,100,11.48,100.0,,,,0.0,
2024-04-12 02:00:00,221594,2024,103,200,11.78,100.0,,,,0.0,
2024-04-12 03:00:00,221595,2024,103,300,11.71,100.0,,,,0.0,
2024-04-12 04:00:00,221596,2024,103,400,11.72,100.0,,,,0.0,
2024-04-12 05:00:00,221597,2024,103,500,11.42,100.0,,,,0.0,
2024-04-12 06:00:00,221598,2024,103,600,11.3,100.0,,,,0.0,
2024-04-12 07:00:00,221599,2024,103,700,9.61,75.0,,,,0.0,
2024-04-12 08:00:00,221600,2024,103,800,10.75,43.0,,,,0.0,
2024-04-12 09:00:00,221601,2024,103,900,17.13,35.0,,,,0.0,
2024-04-12 10:00:00,221602,2024,103,1000,19.75,33.0,,,,0.0,
2024-04-12 11:00:00,221603,2024,103,1100,21.88,37.0,,,,0.0,
2024-04-12 12:00:00,221604,2024,103,1200,22.29,34.0,,,,0.0,
2024-04-12 13:00:00,221605,2024,103,1300,22.93,31.0,,,,0.0,
2024-04-12 14:00:00,221606,2024,103,1400,21.79,29.0,,,,0.0,
2024-04-12 15:00:00,221607,2024,103,1500,22.67,34.0,,,,0.0,
2024-04-12 16:00:00,221608,2024,103,1600,22.11,33.0,,,,0.0,
2024-04-12 17:00:00,221609,2024,103,1700,20.72,35.0,,,,0.0,
2024-04-12 18:00:00,221610,2024,103,1800,19.68,45.0,,,,0.0,
2024-04-12 19:00:00,221611,2024,103,1900,17.6,66.0,,,,0.0,
2024-04-12 20:00:00,221612,2024,103,2000,16.13,75.0,,,,0.0,
2024-04-12 21:00:00,221613,2024,103,2100,15.67,82.0,,,,0.0,
2024-04-12 22:00:00,221614,2024,103,2200,14.38,85.0,,,,0.0,
2024-04-12 23:00:00,221615,2024,103,2300,14.14,88.0,,,,0.0,
2024-04-13 00:00:00,221616,2024,104,0,14.28,94.0,,,,0.0,
2024-04-13 01:00:00,221617,2024,104,100,14.71,99.0,,,,0.0,
2024-04-13 02:00:00,221618,2024,104,200,14.74,100.0,,,,0.0,
2024-04-13 03:00:00,221619,2024,104,300,14.58,100.0,,,,0.0,
2024-04-13 04:00:00,221620,2024,104,400,14.09,100.0,,,,0.0,
2024-04-13 05:00:00,221621,2024,104,500,13.94,100.0,,,,0.0,
2024-04-13 06:00:00,221622,2024,104,600,13.95,91.0,,,,0.0,
2024-04-13 07:00:00,221623,2024,104,700,13.76,58.0,,,,0.0,
2024-04-13 08:00:00,221624,2024,104,800,15.93,33.0,,,,0.0,
2024-04-13 09:00:00,221625,2024,104,900,21.37,29.0,,,,0.0,
2024-04-13 10:00:00,221626,2024,104,1000,23.32,23.0,,,,0.0,
2024-04-13 11:00:00,221627,2024,104,1100,24.71,24.0,,,,0.0,
2024-04-13 12:00:00,221628,2024,104,1200,26.39,25.0,,,,0.0,
2024-04-13 13:00:00,221629,2024,104,1300,26.25,28.0,,,,0.0,
2024-04-13 14:00:00,221630,2024,104,1400,26.56,27.0,,,,0.0,
2024-04-13 15:00:00,221631,2024,104,1500,25.85,28.0,,,,0.0,
2024-04-13 16:00:00,221632,2024,104,1600,24.81,29.0,,,,0.0,
2024-04-13 17:00:00,221633,2024,104,1700,23.59,34.0,,,,0.0,
2024-04-13 18:00:00,221634,2024,104,1800,21.93,41.0,,,,0.0,
2024-04-13 19:00:00,221635,2024,104,1900,19.71,57.0,,,,0.0,
2024-04-13 20:00:00,221636,2024,104,2000,18.03,66.0,,,,0.0,
2024-04-13 21:00:00,221637,2024,104,2100,17.12,64.0,,,,0.0,
2024-04-13 22:00:00,221638,2024,104,2200,17.44,71.0,,,,0.0,
2024-04-13 23:00:00,221639,2024,104,2300,17.06,74.0,,,,0.0,
2024-04-14 00:00:00,221640,2024,105,0,16.74,76.0,,,,0.0,
2024-04-14 01:00:00,221641,2024,105,100,17.26,75.0,,,,0.0,
2024-04-14 02:00:00,221642,2024,105,200,17.35,76.0,,,,0.0,
2024-04-14 03:00:00,221643,2024,105,300,17.09,80.0,,,,0.0,
2024-04-14 04:00:00,221644,2024,105,400,16.89,85.0,,,,0.0,
2024-04-14 05:00:00,221645,2024,105,500,16.81,92.0,,,,0.0,
2024-04-14 06:00:00,221646,2024,105,600,14.79,77.0,,,,0.0,
2024-04-14 07:00:00,221647,2024,105,700,14.46,47.0,,,,0.0,
2024-04-14 08:00:00,221648,2024,105,800,17.03,28.0,,,,0.0,
2024-04-14 09:00:00,221649,2024,105,900,23.76,28.0,,,,0.0,
2024-04-14 10:00:00,221650,2024,105,1000,24.95,27.0,,,,0.0,
2024-04-14 11:00:00,221651,2024,105,1100,25.01,30.0,,,,0.0,
2024-04-14 12:00:00,221652,2024,105,1200,25.61,29.0,,,,0.0,
2024-04-14 13:00:00,221653,2024,105,1300,25.71,29.0,,,,0.0,
2024-04-14 14:00:00,221654,2024,105,1400,26.33,28.0,,,,0.0,
2024-04-14 15:00:00,221655,2024,105,1500,26.68,28.0,,,,0.0,
2024-04-14 16:00:00,221656,2024,105,1600,25.25,29.0,,,,0.0,
2024-04-14 17:00:00,221657,2024,105,1700,23.83,32.0,,,,0.0,
2024-04-14 18:00:00,221658,2024,105,1800,21.5,37.0,,,,0.0,
2024-04-14 19:00:00,221659,2024,105,1900,19.35,39.0,,,,0.0,
2024-04-14 20:00:00,221660,2024,105,2000,17.57,36.0,,,,0.0,
2024-04-14 21:00:00,221661,2024,105,2100,16.27,38.0,,,,0.0,
2024-04-14 22:00:00,221662,2024,105,2200,15.83,51.0,,,,0.0,
2024-04-14 23:00:00,221663,2024,105,2300,16.11,62.0,,,,0.0,
2024-04-15 00:00:00,221664,2024,106,0,17.03,57.0,,,,0.0,
2024-04-15 01:00:00,221665,2024,106,100,17.38,61.0,,,,0.0,
2024-04-15 02:00:00,221666,2024,106,200,16.79,66.0,,,,0.0,
2024-04-15 03:00:00,221667,2024,106,300,17.33,74.0,,,,0.0,
2024-04-15 04:00:00,221668,2024,106,400,15.37,77.0,,,,0.0,
2024-04-15 05:00:00,221669,2024,106,500,14.12,83.0,,,,0.0,
2024-04-15 06:00:00,221670,2024,106,600,15.5,78.0,,,,0.0,
2024-04-15 07:00:00,221671,2024,106,700,15.2,63.0,,,,0.0,
2024-04-15 08:00:00,221672,2024,106,800,15.52,38.0,,,,0.0,
2024-04-15 09:00:00,221673,2024,106,900,17.92,32.0,,,,0.0,
